"","Fractures","Sprains, strains, tears","Amputations","Bruise, contusions","Chemical burns and corrosions","Heat (thermal) burns","Soreness, pain","Cuts, lacerations","Punctures (except gunshot wounds)","Cuts, lacerations, punctures","Carpal tunnel syndrome","Tendonitis","With sprains","With fractures","Multiple traumatic injuries","all other","value"
"208",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94
"209",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
"210",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
"211",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
"212",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
"213",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"214",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"215",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54
"216",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
"217",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
"218",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66
"219",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
"220",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
"221",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"222",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
"223",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120
"224",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108
"225",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
"226",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68
"227",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
"228",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"229",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"230",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
"231",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
